P4 sweep: 1542 jobs total, 0 already done; workers=24, cap=$100.0
== P1-fever: 672/672 jobs to run
[301/1542] P1-fever relay/extract/feverc_016 outcome=correct run=$0.011 sweep=$6.65
[302/1542] P1-fever relay/board_inert/feverc_030 outcome=correct run=$0.008 sweep=$6.65
[303/1542] P1-fever relay/board_inert/feverc_026 outcome=wrong_confident run=$0.009 sweep=$6.65
[304/1542] P1-fever relay/board_inert/feverc_033 outcome=correct run=$0.007 sweep=$6.68
[305/1542] P1-fever relay/board_inert/feverc_034 outcome=correct run=$0.006 sweep=$6.68
[306/1542] P1-fever relay/board_inert/feverc_038 outcome=wrong_confident run=$0.005 sweep=$6.75
[307/1542] P1-fever relay/board_inert/feverc_037 outcome=correct run=$0.007 sweep=$6.75
[308/1542] P1-fever relay/board_inert/feverc_036 outcome=correct run=$0.007 sweep=$6.75
[309/1542] P1-fever relay/board_inert/feverc_040 outcome=correct run=$0.007 sweep=$6.75
[310/1542] P1-fever relay/board_inert/feverc_032 outcome=wrong_confident run=$0.009 sweep=$6.78
[311/1542] P1-fever relay/extract/feverc_036 outcome=correct run=$0.061 sweep=$6.78
[312/1542] P1-fever relay/extract/feverc_030 outcome=correct run=$0.012 sweep=$6.81
[313/1542] P1-fever relay/board_inert/feverc_039 outcome=correct run=$0.009 sweep=$6.81
[314/1542] P1-fever relay/board_inert/feverc_043 outcome=correct run=$0.007 sweep=$6.81
[315/1542] P1-fever relay/board_inert/feverc_041 outcome=correct run=$0.006 sweep=$6.81
[316/1542] P1-fever relay/board_inert/feverc_047 outcome=correct run=$0.006 sweep=$6.83
[317/1542] P1-fever relay/board_inert/feverc_045 outcome=correct run=$0.007 sweep=$6.83
[318/1542] P1-fever hub/vanilla/feverc_000 outcome=correct run=$0.009 sweep=$6.88
[319/1542] P1-fever hub/vanilla/feverc_001 outcome=correct run=$0.011 sweep=$6.91
[320/1542] P1-fever relay/board_inert/feverc_002 outcome=wrong_confident run=$0.046 sweep=$6.91
[321/1542] P1-fever relay/extract/feverc_043 outcome=correct run=$0.048 sweep=$6.95
[322/1542] P1-fever relay/board_inert/feverc_014 outcome=wrong_confident run=$0.033 sweep=$6.95
[323/1542] P1-fever relay/board_inert/feverc_016 outcome=correct run=$0.035 sweep=$7.08
[324/1542] P1-fever relay/extract/feverc_042 outcome=correct run=$0.069 sweep=$7.08
[325/1542] P1-fever hub/vanilla/feverc_008 outcome=wrong_confident run=$0.009 sweep=$7.16
[326/1542] P1-fever hub/vanilla/feverc_007 outcome=correct run=$0.009 sweep=$7.22
[327/1542] P1-fever hub/vanilla/feverc_010 outcome=correct run=$0.005 sweep=$7.22
[328/1542] P1-fever relay/board_inert/feverc_004 outcome=correct run=$0.046 sweep=$7.22
[329/1542] P1-fever relay/board_inert/feverc_018 outcome=correct run=$0.035 sweep=$7.28
[330/1542] P1-fever relay/board_inert/feverc_021 outcome=correct run=$0.039 sweep=$7.35
[331/1542] P1-fever hub/vanilla/feverc_011 outcome=wrong_confident run=$0.010 sweep=$7.37
[332/1542] P1-fever relay/board_inert/feverc_046 outcome=wrong_confident run=$0.022 sweep=$7.37
[333/1542] P1-fever hub/vanilla/feverc_014 outcome=wrong_confident run=$0.008 sweep=$7.39
[334/1542] P1-fever hub/vanilla/feverc_005 outcome=wrong_confident run=$0.023 sweep=$7.39
[335/1542] P1-fever relay/extract/feverc_029 outcome=wrong_confident run=$0.070 sweep=$7.42
[336/1542] P1-fever relay/board_inert/feverc_029 outcome=wrong_confident run=$0.036 sweep=$7.48
[337/1542] P1-fever hub/vanilla/feverc_020 outcome=wrong_confident run=$0.010 sweep=$7.48
[338/1542] P1-fever relay/board_inert/feverc_005 outcome=wrong_confident run=$0.043 sweep=$7.55
[339/1542] P1-fever hub/vanilla/feverc_017 outcome=wrong_confident run=$0.013 sweep=$7.55
[340/1542] P1-fever relay/board_inert/feverc_035 outcome=wrong_confident run=$0.034 sweep=$7.58
[341/1542] P1-fever relay/board_inert/feverc_019 outcome=correct run=$0.041 sweep=$7.58
[342/1542] P1-fever hub/vanilla/feverc_021 outcome=correct run=$0.009 sweep=$7.61
[343/1542] P1-fever hub/vanilla/feverc_022 outcome=correct run=$0.016 sweep=$7.61
[344/1542] P1-fever hub/vanilla/feverc_018 outcome=correct run=$0.013 sweep=$7.61
[345/1542] P1-fever hub/vanilla/feverc_023 outcome=wrong_confident run=$0.011 sweep=$7.63
[346/1542] P1-fever hub/vanilla/feverc_015 outcome=wrong_confident run=$0.023 sweep=$7.64
[347/1542] P1-fever hub/vanilla/feverc_019 outcome=correct run=$0.031 sweep=$7.64
[348/1542] P1-fever hub/vanilla/feverc_028 outcome=correct run=$0.007 sweep=$7.64
[349/1542] P1-fever hub/vanilla/feverc_026 outcome=wrong_confident run=$0.009 sweep=$7.64
[350/1542] P1-fever relay/board_inert/feverc_044 outcome=correct run=$0.032 sweep=$7.74
[351/1542] P1-fever relay/board_inert/feverc_027 outcome=correct run=$0.044 sweep=$7.80
[352/1542] P1-fever hub/vanilla/feverc_004 outcome=correct run=$0.042 sweep=$7.84
[353/1542] P1-fever hub/vanilla/feverc_030 outcome=correct run=$0.012 sweep=$7.86
[354/1542] P1-fever hub/vanilla/feverc_029 outcome=wrong_confident run=$0.012 sweep=$7.91
[355/1542] P1-fever hub/vanilla/feverc_032 outcome=wrong_confident run=$0.009 sweep=$7.91
[356/1542] P1-fever hub/vanilla/feverc_036 outcome=correct run=$0.010 sweep=$7.95
[357/1542] P1-fever hub/vanilla/feverc_038 outcome=wrong_confident run=$0.010 sweep=$7.95
[358/1542] P1-fever relay/board_inert/feverc_017 outcome=wrong_confident run=$0.019 sweep=$7.95
[359/1542] P1-fever hub/vanilla/feverc_039 outcome=correct run=$0.010 sweep=$7.98
[360/1542] P1-fever relay/board_inert/feverc_031 outcome=correct run=$0.044 sweep=$7.98
[361/1542] P1-fever hub/vanilla/feverc_006 outcome=correct run=$0.055 sweep=$7.98
[362/1542] P1-fever hub/vanilla/feverc_041 outcome=correct run=$0.008 sweep=$8.04
[363/1542] P1-fever hub/vanilla/feverc_040 outcome=correct run=$0.010 sweep=$8.04
[364/1542] P1-fever hub/vanilla/feverc_009 outcome=correct run=$0.033 sweep=$8.07
[365/1542] P1-fever hub/vanilla/feverc_045 outcome=correct run=$0.008 sweep=$8.13
[366/1542] P1-fever hub/full/feverc_000 outcome=correct run=$0.010 sweep=$8.13
[367/1542] P1-fever hub/vanilla/feverc_031 outcome=correct run=$0.029 sweep=$8.13
[368/1542] P1-fever hub/vanilla/feverc_044 outcome=correct run=$0.014 sweep=$8.15
[369/1542] P1-fever hub/vanilla/feverc_042 outcome=correct run=$0.014 sweep=$8.23
[370/1542] P1-fever hub/vanilla/feverc_043 outcome=correct run=$0.016 sweep=$8.23
[371/1542] P1-fever hub/vanilla/feverc_047 outcome=correct run=$0.017 sweep=$8.23
[372/1542] P1-fever hub/vanilla/feverc_046 outcome=wrong_confident run=$0.011 sweep=$8.23
[373/1542] P1-fever hub/vanilla/feverc_002 outcome=correct run=$0.052 sweep=$8.27
[374/1542] P1-fever hub/full/feverc_006 outcome=correct run=$0.009 sweep=$8.27
[375/1542] P1-fever relay/board_inert/feverc_042 outcome=correct run=$0.044 sweep=$8.33
[376/1542] P1-fever hub/full/feverc_010 outcome=correct run=$0.005 sweep=$8.33
[377/1542] P1-fever hub/full/feverc_003 outcome=correct run=$0.032 sweep=$8.33
[378/1542] P1-fever hub/vanilla/feverc_027 outcome=correct run=$0.037 sweep=$8.39
[379/1542] P1-fever hub/full/feverc_007 outcome=correct run=$0.011 sweep=$8.39
[380/1542] P1-fever hub/full/feverc_013 outcome=correct run=$0.008 sweep=$8.39
[381/1542] P1-fever hub/full/feverc_004 outcome=correct run=$0.011 sweep=$8.39
[382/1542] P1-fever hub/vanilla/feverc_035 outcome=wrong_confident run=$0.049 sweep=$8.47
[383/1542] P1-fever hub/full/feverc_012 outcome=wrong_confident run=$0.015 sweep=$8.52
[384/1542] P1-fever hub/full/feverc_020 outcome=wrong_confident run=$0.009 sweep=$8.63
[385/1542] P1-fever hub/vanilla/feverc_025 outcome=correct run=$0.051 sweep=$8.67
[386/1542] P1-fever hub/full/feverc_022 outcome=correct run=$0.011 sweep=$8.71
[387/1542] P1-fever hub/full/feverc_011 outcome=wrong_confident run=$0.017 sweep=$8.71
[388/1542] P1-fever hub/vanilla/feverc_024 outcome=correct run=$0.052 sweep=$8.71
[389/1542] P1-fever hub/vanilla/feverc_033 outcome=correct run=$0.042 sweep=$8.74
[390/1542] P1-fever hub/full/feverc_023 outcome=wrong_confident run=$0.012 sweep=$8.74
[391/1542] P1-fever hub/vanilla/feverc_016 outcome=correct run=$0.056 sweep=$8.85
[392/1542] P1-fever hub/vanilla/feverc_013 outcome=correct run=$0.060 sweep=$8.85
[393/1542] P1-fever hub/vanilla/feverc_003 outcome=wrong_confident run=$0.056 sweep=$8.85
[394/1542] P1-fever hub/vanilla/feverc_037 outcome=correct run=$0.042 sweep=$8.88
[395/1542] P1-fever hub/full/feverc_030 outcome=correct run=$0.009 sweep=$8.90
[396/1542] P1-fever hub/full/feverc_028 outcome=correct run=$0.012 sweep=$8.90
[397/1542] P1-fever hub/full/feverc_032 outcome=wrong_confident run=$0.010 sweep=$8.93
[398/1542] P1-fever hub/full/feverc_027 outcome=correct run=$0.011 sweep=$8.95
[399/1542] P1-fever hub/full/feverc_008 outcome=wrong_confident run=$0.037 sweep=$9.06
[400/1542] P1-fever hub/full/feverc_001 outcome=correct run=$0.049 sweep=$9.15
[401/1542] P1-fever hub/full/feverc_034 outcome=correct run=$0.016 sweep=$9.24
[402/1542] P1-fever hub/full/feverc_014 outcome=wrong_confident run=$0.034 sweep=$9.24
[403/1542] P1-fever hub/vanilla/feverc_034 outcome=correct run=$0.060 sweep=$9.28
[404/1542] P1-fever hub/full/feverc_038 outcome=wrong_confident run=$0.009 sweep=$9.28
[405/1542] P1-fever hub/full/feverc_009 outcome=correct run=$0.038 sweep=$9.28
[406/1542] P1-fever hub/full/feverc_031 outcome=correct run=$0.027 sweep=$9.30
[407/1542] P1-fever hub/full/feverc_039 outcome=correct run=$0.013 sweep=$9.41
[408/1542] P1-fever hub/vanilla/feverc_012 outcome=wrong_confident run=$0.097 sweep=$9.41
[409/1542] P1-fever hub/full/feverc_019 outcome=correct run=$0.061 sweep=$9.41
[410/1542] P1-fever hub/full/feverc_040 outcome=correct run=$0.011 sweep=$9.41
[411/1542] P1-fever hub/full/feverc_043 outcome=correct run=$0.008 sweep=$9.41
[412/1542] P1-fever hub/full/feverc_045 outcome=correct run=$0.009 sweep=$9.41
[413/1542] P1-fever hub/full/feverc_017 outcome=wrong_confident run=$0.049 sweep=$9.46
[414/1542] P1-fever hub/full/feverc_005 outcome=wrong_confident run=$0.048 sweep=$9.62
[415/1542] P1-fever hub/full/feverc_044 outcome=correct run=$0.015 sweep=$9.62
[416/1542] P1-fever hub/full/feverc_046 outcome=wrong_confident run=$0.014 sweep=$9.74
[417/1542] P1-fever hub/full/feverc_021 outcome=correct run=$0.046 sweep=$9.74
[418/1542] P1-fever hub/full/feverc_047 outcome=correct run=$0.016 sweep=$9.74
[419/1542] P1-fever hub/full/feverc_036 outcome=correct run=$0.035 sweep=$9.77
[420/1542] P1-fever hub/full/feverc_016 outcome=correct run=$0.046 sweep=$9.78
[421/1542] P1-fever hub/full/feverc_026 outcome=wrong_confident run=$0.049 sweep=$9.78
[422/1542] P1-fever hub/sop/feverc_010 outcome=correct run=$0.006 sweep=$9.81
[423/1542] P1-fever hub/sop/feverc_008 outcome=wrong_confident run=$0.011 sweep=$9.83
[424/1542] P1-fever hub/sop/feverc_009 outcome=correct run=$0.008 sweep=$9.83
[425/1542] P1-fever hub/sop/feverc_006 outcome=correct run=$0.025 sweep=$9.86
[426/1542] P1-fever hub/full/feverc_002 outcome=wrong_confident run=$0.075 sweep=$9.86
[427/1542] P1-fever hub/sop/feverc_007 outcome=correct run=$0.012 sweep=$9.89
[428/1542] P1-fever hub/sop/feverc_013 outcome=correct run=$0.009 sweep=$9.93
[429/1542] P1-fever hub/sop/feverc_011 outcome=wrong_confident run=$0.014 sweep=$9.93
[430/1542] P1-fever hub/sop/feverc_016 outcome=correct run=$0.012 sweep=$10.01
[431/1542] P1-fever hub/sop/feverc_014 outcome=wrong_confident run=$0.008 sweep=$10.08
[432/1542] P1-fever hub/full/feverc_035 outcome=wrong_confident run=$0.039 sweep=$10.20
[433/1542] P1-fever hub/sop/feverc_020 outcome=wrong_confident run=$0.007 sweep=$10.20
[434/1542] P1-fever hub/full/feverc_025 outcome=correct run=$0.048 sweep=$10.30
[435/1542] P1-fever hub/sop/feverc_003 outcome=correct run=$0.049 sweep=$10.38
[436/1542] P1-fever hub/sop/feverc_021 outcome=correct run=$0.008 sweep=$10.38
[437/1542] P1-fever hub/full/feverc_042 outcome=correct run=$0.045 sweep=$10.38
[438/1542] P1-fever hub/sop/feverc_023 outcome=wrong_confident run=$0.009 sweep=$10.43
[439/1542] P1-fever hub/sop/feverc_004 outcome=correct run=$0.040 sweep=$10.43
[440/1542] P1-fever hub/full/feverc_041 outcome=correct run=$0.052 sweep=$10.43
[441/1542] P1-fever hub/sop/feverc_028 outcome=correct run=$0.008 sweep=$10.49
[442/1542] P1-fever hub/sop/feverc_026 outcome=wrong_confident run=$0.008 sweep=$10.53
[443/1542] P1-fever hub/sop/feverc_001 outcome=correct run=$0.043 sweep=$10.58
[444/1542] P1-fever hub/full/feverc_018 outcome=correct run=$0.079 sweep=$10.59
[445/1542] P1-fever hub/sop/feverc_029 outcome=wrong_confident run=$0.014 sweep=$10.65
[446/1542] P1-fever hub/sop/feverc_024 outcome=correct run=$0.022 sweep=$10.65
[447/1542] P1-fever hub/sop/feverc_030 outcome=correct run=$0.011 sweep=$10.65
[448/1542] P1-fever hub/sop/feverc_019 outcome=correct run=$0.033 sweep=$10.68
[449/1542] P1-fever hub/sop/feverc_034 outcome=correct run=$0.010 sweep=$10.68
[450/1542] P1-fever hub/sop/feverc_027 outcome=correct run=$0.022 sweep=$10.70
[451/1542] P1-fever hub/sop/feverc_002 outcome=correct run=$0.052 sweep=$10.84
[452/1542] P1-fever hub/full/feverc_029 outcome=wrong_confident run=$0.102 sweep=$10.84
[453/1542] P1-fever hub/sop/feverc_038 outcome=wrong_confident run=$0.010 sweep=$10.89
[454/1542] P1-fever hub/sop/feverc_000 outcome=correct run=$0.046 sweep=$11.15
[455/1542] P1-fever hub/sop/feverc_039 outcome=correct run=$0.034 sweep=$11.20
[456/1542] P1-fever hub/sop/feverc_015 outcome=correct run=$0.052 sweep=$11.20
[457/1542] P1-fever hub/full/feverc_033 outcome=correct run=$0.105 sweep=$11.20
[458/1542] P1-fever hub/sop/feverc_041 outcome=correct run=$0.008 sweep=$11.20
[459/1542] P1-fever hub/sop/feverc_040 outcome=correct run=$0.010 sweep=$11.20
[460/1542] P1-fever hub/full/feverc_037 outcome=correct run=$0.070 sweep=$11.27
[461/1542] P1-fever hub/sop/feverc_012 outcome=correct run=$0.036 sweep=$11.36
[462/1542] P1-fever hub/sop/feverc_036 outcome=correct run=$0.011 sweep=$11.36
[463/1542] P1-fever hub/sop/feverc_005 outcome=wrong_confident run=$0.056 sweep=$11.41
[464/1542] P1-fever hub/full/feverc_015 outcome=correct run=$0.115 sweep=$11.41
[465/1542] P1-fever hub/sop/feverc_045 outcome=correct run=$0.009 sweep=$11.41
[466/1542] P1-fever hub/sop/feverc_043 outcome=correct run=$0.013 sweep=$11.41
[467/1542] P1-fever hub/sop/feverc_017 outcome=wrong_confident run=$0.048 sweep=$11.41
[468/1542] P1-fever hub/sop/feverc_047 outcome=correct run=$0.012 sweep=$11.46
[469/1542] P1-fever hub/sop/feverc_032 outcome=wrong_confident run=$0.047 sweep=$11.46
[470/1542] P1-fever hub/down/feverc_001 outcome=correct run=$0.013 sweep=$11.46
[471/1542] P1-fever hub/down/feverc_000 outcome=correct run=$0.015 sweep=$11.49
[472/1542] P1-fever hub/sop/feverc_033 outcome=wrong_confident run=$0.047 sweep=$11.49
[473/1542] P1-fever hub/sop/feverc_022 outcome=correct run=$0.050 sweep=$11.53
[474/1542] P1-fever hub/down/feverc_010 outcome=correct run=$0.006 sweep=$11.53
[475/1542] P1-fever hub/down/feverc_009 outcome=correct run=$0.010 sweep=$11.56
[476/1542] P1-fever hub/sop/feverc_025 outcome=correct run=$0.059 sweep=$11.59
[477/1542] P1-fever hub/sop/feverc_035 outcome=wrong_confident run=$0.054 sweep=$11.61
[478/1542] P1-fever hub/down/feverc_006 outcome=correct run=$0.011 sweep=$11.63
[479/1542] P1-fever hub/down/feverc_008 outcome=wrong_confident run=$0.012 sweep=$11.63
[480/1542] P1-fever hub/down/feverc_017 outcome=wrong_confident run=$0.022 sweep=$11.65
[481/1542] P1-fever hub/down/feverc_004 outcome=correct run=$0.020 sweep=$11.68
[482/1542] P1-fever hub/down/feverc_015 outcome=correct run=$0.015 sweep=$11.72
[483/1542] P1-fever hub/down/feverc_022 outcome=correct run=$0.013 sweep=$11.73
[484/1542] P1-fever hub/down/feverc_016 outcome=correct run=$0.020 sweep=$11.78
[485/1542] P1-fever hub/down/feverc_023 outcome=wrong_confident run=$0.009 sweep=$11.78
[486/1542] P1-fever hub/sop/feverc_037 outcome=correct run=$0.061 sweep=$11.78
[487/1542] P1-fever hub/sop/feverc_031 outcome=correct run=$0.086 sweep=$11.78
[488/1542] P1-fever hub/down/feverc_028 outcome=correct run=$0.010 sweep=$11.89
[489/1542] P1-fever hub/down/feverc_026 outcome=wrong_confident run=$0.012 sweep=$11.89
[490/1542] P1-fever hub/down/feverc_030 outcome=correct run=$0.012 sweep=$11.93
[491/1542] P1-fever hub/sop/feverc_044 outcome=correct run=$0.038 sweep=$11.98
[492/1542] P1-fever hub/full/feverc_024 outcome=correct run=$0.115 sweep=$12.22
[493/1542] P1-fever hub/down/feverc_007 outcome=correct run=$0.035 sweep=$12.22
[494/1542] P1-fever hub/sop/feverc_046 outcome=wrong_confident run=$0.038 sweep=$12.22
[495/1542] P1-fever hub/down/feverc_032 outcome=wrong_confident run=$0.014 sweep=$12.22
[496/1542] P1-fever hub/down/feverc_014 outcome=wrong_confident run=$0.039 sweep=$12.27
[497/1542] P1-fever hub/down/feverc_013 outcome=correct run=$0.043 sweep=$12.29
[498/1542] P1-fever hub/sop/feverc_042 outcome=correct run=$0.048 sweep=$12.45
[499/1542] P1-fever hub/down/feverc_034 outcome=correct run=$0.016 sweep=$12.45
[500/1542] P1-fever hub/down/feverc_021 outcome=correct run=$0.035 sweep=$12.50
[501/1542] P1-fever hub/down/feverc_038 outcome=wrong_confident run=$0.015 sweep=$12.53
[502/1542] P1-fever hub/down/feverc_041 outcome=correct run=$0.011 sweep=$12.65
[503/1542] P1-fever hub/down/feverc_037 outcome=correct run=$0.022 sweep=$12.65
[504/1542] P1-fever hub/down/feverc_012 outcome=wrong_confident run=$0.051 sweep=$12.67
[505/1542] P1-fever hub/down/feverc_024 outcome=correct run=$0.046 sweep=$12.75
[506/1542] P1-fever hub/down/feverc_031 outcome=correct run=$0.044 sweep=$12.75
[507/1542] P1-fever hub/down/feverc_045 outcome=correct run=$0.009 sweep=$12.80
[508/1542] P1-fever hub/down/feverc_047 outcome=correct run=$0.015 sweep=$12.96
[509/1542] P1-fever hub/down/feverc_005 outcome=wrong_confident run=$0.058 sweep=$12.96
[510/1542] P1-fever hub/down/feverc_020 outcome=wrong_confident run=$0.064 sweep=$13.01
[511/1542] P1-fever hub/sop/feverc_018 outcome=wrong_confident run=$0.120 sweep=$13.01
[512/1542] P1-fever hub/board/feverc_004 outcome=correct run=$0.019 sweep=$13.15
[513/1542] P1-fever hub/board/feverc_002 outcome=correct run=$0.024 sweep=$13.15
[514/1542] P1-fever hub/down/feverc_035 outcome=wrong_confident run=$0.043 sweep=$13.23
[515/1542] P1-fever hub/down/feverc_029 outcome=wrong_confident run=$0.071 sweep=$13.29
[516/1542] P1-fever hub/down/feverc_003 outcome=correct run=$0.096 sweep=$13.35
[517/1542] P1-fever hub/board/feverc_010 outcome=correct run=$0.005 sweep=$13.39
[518/1542] P1-fever hub/board/feverc_008 outcome=wrong_confident run=$0.018 sweep=$13.39
[519/1542] P1-fever hub/board/feverc_009 outcome=correct run=$0.012 sweep=$13.39
[520/1542] P1-fever hub/board/feverc_006 outcome=correct run=$0.028 sweep=$13.39
[521/1542] P1-fever hub/board/feverc_003 outcome=correct run=$0.040 sweep=$13.39
[522/1542] P1-fever hub/board/feverc_007 outcome=correct run=$0.014 sweep=$13.46
[523/1542] P1-fever hub/down/feverc_042 outcome=correct run=$0.042 sweep=$13.46
[524/1542] P1-fever hub/down/feverc_040 outcome=correct run=$0.052 sweep=$13.54
[525/1542] P1-fever hub/board/feverc_017 outcome=wrong_confident run=$0.013 sweep=$13.56
[526/1542] P1-fever hub/down/feverc_039 outcome=correct run=$0.058 sweep=$13.58
[527/1542] P1-fever hub/down/feverc_044 outcome=correct run=$0.046 sweep=$13.72
[528/1542] P1-fever hub/board/feverc_000 outcome=correct run=$0.037 sweep=$13.81
[529/1542] P1-fever hub/board/feverc_021 outcome=correct run=$0.011 sweep=$13.81
[530/1542] P1-fever hub/board/feverc_020 outcome=wrong_confident run=$0.011 sweep=$13.81
[531/1542] P1-fever hub/board/feverc_023 outcome=wrong_confident run=$0.013 sweep=$13.94
[532/1542] P1-fever hub/board/feverc_018 outcome=correct run=$0.034 sweep=$13.94
[533/1542] P1-fever hub/board/feverc_022 outcome=correct run=$0.023 sweep=$13.94
[534/1542] P1-fever hub/down/feverc_011 outcome=wrong_confident run=$0.095 sweep=$13.94
[535/1542] P1-fever hub/down/feverc_025 outcome=correct run=$0.091 sweep=$13.94
[536/1542] P1-fever hub/down/feverc_043 outcome=correct run=$0.043 sweep=$13.97
[537/1542] P1-fever hub/board/feverc_019 outcome=correct run=$0.040 sweep=$14.04
[538/1542] P1-fever hub/board/feverc_028 outcome=correct run=$0.011 sweep=$14.11
[539/1542] P1-fever hub/board/feverc_026 outcome=wrong_confident run=$0.019 sweep=$14.11
[540/1542] P1-fever hub/board/feverc_001 outcome=correct run=$0.039 sweep=$14.11
[541/1542] P1-fever hub/board/feverc_011 outcome=wrong_confident run=$0.043 sweep=$14.25
[542/1542] P1-fever hub/board/feverc_024 outcome=correct run=$0.023 sweep=$14.28
[543/1542] P1-fever hub/board/feverc_030 outcome=correct run=$0.014 sweep=$14.30
[544/1542] P1-fever hub/board/feverc_032 outcome=wrong_confident run=$0.015 sweep=$14.30
[545/1542] P1-fever hub/board/feverc_033 outcome=correct run=$0.022 sweep=$14.35
[546/1542] P1-fever hub/down/feverc_018 outcome=correct run=$0.116 sweep=$14.42
[547/1542] P1-fever hub/board/feverc_036 outcome=correct run=$0.011 sweep=$14.42
[548/1542] P1-fever hub/board/feverc_014 outcome=wrong_confident run=$0.039 sweep=$14.57
[549/1542] P1-fever hub/board/feverc_016 outcome=correct run=$0.045 sweep=$14.57
[550/1542] P1-fever hub/board/feverc_037 outcome=correct run=$0.016 sweep=$14.59
[551/1542] P1-fever hub/down/feverc_002 outcome=wrong_confident run=$0.101 sweep=$14.59
[552/1542] P1-fever hub/board/feverc_035 outcome=wrong_confident run=$0.030 sweep=$14.63
[553/1542] P1-fever hub/board/feverc_038 outcome=wrong_confident run=$0.013 sweep=$14.63
[554/1542] P1-fever hub/board/feverc_041 outcome=correct run=$0.010 sweep=$14.63
[555/1542] P1-fever hub/board/feverc_013 outcome=correct run=$0.041 sweep=$14.63
[556/1542] P1-fever hub/board/feverc_031 outcome=correct run=$0.029 sweep=$14.73
[557/1542] P1-fever hub/board/feverc_040 outcome=correct run=$0.032 sweep=$14.73
[558/1542] P1-fever hub/down/feverc_036 outcome=correct run=$0.089 sweep=$14.80
[559/1542] P1-fever hub/board/feverc_015 outcome=wrong_confident run=$0.053 sweep=$14.80
[560/1542] P1-fever hub/board/feverc_045 outcome=correct run=$0.012 sweep=$14.80
[561/1542] P1-fever hub/board/feverc_043 outcome=correct run=$0.031 sweep=$14.83
[562/1542] P1-fever hub/board/feverc_047 outcome=correct run=$0.015 sweep=$14.83
[563/1542] P1-fever hub/board/feverc_044 outcome=correct run=$0.014 sweep=$14.83
[564/1542] P1-fever hub/extract/feverc_000 outcome=correct run=$0.015 sweep=$14.94
[565/1542] P1-fever hub/extract/feverc_010 outcome=correct run=$0.006 sweep=$14.98
[566/1542] P1-fever hub/extract/feverc_004 outcome=correct run=$0.020 sweep=$15.00
[567/1542] P1-fever hub/down/feverc_046 outcome=wrong_confident run=$0.089 sweep=$15.05
[568/1542] P1-fever hub/extract/feverc_009 outcome=correct run=$0.013 sweep=$15.06
[569/1542] P1-fever hub/extract/feverc_008 outcome=wrong_confident run=$0.013 sweep=$15.11
[570/1542] P1-fever hub/down/feverc_033 outcome=correct run=$0.110 sweep=$15.16
[571/1542] P1-fever hub/down/feverc_027 outcome=wrong_confident run=$0.124 sweep=$15.16
[572/1542] P1-fever hub/extract/feverc_005 outcome=wrong_confident run=$0.022 sweep=$15.21
[573/1542] P1-fever hub/board/feverc_034 outcome=correct run=$0.041 sweep=$15.21
[574/1542] P1-fever hub/extract/feverc_003 outcome=correct run=$0.031 sweep=$15.21
[575/1542] P1-fever hub/extract/feverc_006 outcome=correct run=$0.029 sweep=$15.21
[576/1542] P1-fever hub/extract/feverc_012 outcome=wrong_confident run=$0.015 sweep=$15.26
[577/1542] P1-fever hub/extract/feverc_011 outcome=wrong_confident run=$0.021 sweep=$15.28
[578/1542] P1-fever hub/board/feverc_012 outcome=wrong_confident run=$0.065 sweep=$15.33
[579/1542] P1-fever hub/extract/feverc_016 outcome=correct run=$0.016 sweep=$15.36
[580/1542] P1-fever hub/extract/feverc_020 outcome=wrong_confident run=$0.012 sweep=$15.39
[581/1542] P1-fever hub/board/feverc_046 outcome=correct run=$0.051 sweep=$15.39
[582/1542] P1-fever hub/extract/feverc_023 outcome=wrong_confident run=$0.013 sweep=$15.43
[583/1542] P1-fever hub/extract/feverc_014 outcome=wrong_confident run=$0.014 sweep=$15.43
[584/1542] P1-fever hub/board/feverc_025 outcome=correct run=$0.075 sweep=$15.54
[585/1542] P1-fever hub/extract/feverc_018 outcome=wrong_confident run=$0.040 sweep=$15.75
[586/1542] P1-fever hub/extract/feverc_019 outcome=correct run=$0.056 sweep=$15.78
[587/1542] P1-fever hub/extract/feverc_028 outcome=correct run=$0.017 sweep=$15.78
[588/1542] P1-fever hub/extract/feverc_029 outcome=wrong_confident run=$0.021 sweep=$15.84
[589/1542] P1-fever hub/extract/feverc_025 outcome=correct run=$0.028 sweep=$15.84
[590/1542] P1-fever hub/down/feverc_019 outcome=correct run=$0.138 sweep=$15.84
[591/1542] P1-fever hub/board/feverc_005 outcome=wrong_confident run=$0.087 sweep=$15.84
[592/1542] P1-fever hub/board/feverc_029 outcome=wrong_confident run=$0.071 sweep=$15.87
[593/1542] P1-fever hub/board/feverc_042 outcome=correct run=$0.045 sweep=$15.87
[594/1542] P1-fever hub/extract/feverc_032 outcome=wrong_confident run=$0.018 sweep=$15.91
[595/1542] P1-fever hub/extract/feverc_007 outcome=correct run=$0.052 sweep=$16.09
[596/1542] P1-fever hub/extract/feverc_034 outcome=correct run=$0.017 sweep=$16.09
[597/1542] P1-fever hub/extract/feverc_038 outcome=wrong_confident run=$0.013 sweep=$16.16
[598/1542] P1-fever hub/board/feverc_039 outcome=correct run=$0.022 sweep=$16.16
[599/1542] P1-fever hub/extract/feverc_021 outcome=correct run=$0.038 sweep=$16.22
[600/1542] P1-fever hub/extract/feverc_017 outcome=wrong_confident run=$0.043 sweep=$16.22
